"CountyID","CountyName","Abuse","Neglect","SexualAbuse","Count"
24,"Garfield",1,1,1,13
25,"Garvin",0,0,0,7
25,"Garvin",0,0,1,37
25,"Garvin",0,1,0,1082
25,"Garvin",0,1,1,29
25,"Garvin",1,0,0,142
25,"Garvin",1,0,1,7
25,"Garvin",1,1,0,88
25,"Garvin",1,1,1,3
26,"Grady",0,0,0,15
26,"Grady",0,0,1,50
26,"Grady",0,1,0,1533
26,"Grady",0,1,1,26
26,"Grady",1,0,0,139
26,"Grady",1,0,1,1
26,"Grady",1,1,0,158
27,"Grant",0,0,0,9
27,"Grant",0,0,1,7
27,"Grant",0,1,0,156
27,"Grant",0,1,1,2
27,"Grant",1,0,0,31
27,"Grant",1,0,1,1
27,"Grant",1,1,0,13
28,"Greer",0,0,0,8
28,"Greer",0,0,1,20
28,"Greer",0,1,0,859
28,"Greer",0,1,1,12
28,"Greer",1,0,0,83
28,"Greer",1,0,1,2
28,"Greer",1,1,0,67
28,"Greer",1,1,1,2
29,"Harmon",0,0,0,7
29,"Harmon",0,0,1,23
29,"Harmon",0,1,0,237
29,"Harmon",0,1,1,1
29,"Harmon",1,0,0,35
29,"Harmon",1,1,0,19
29,"Harmon",1,1,1,1
30,"Harper",0,0,0,2
30,"Harper",0,0,1,1
30,"Harper",0,1,0,100
30,"Harper",0,1,1,1
30,"Harper",1,0,0,23
30,"Harper",1,1,0,3
31,"Haskell",0,0,0,12
31,"Haskell",0,0,1,5
31,"Haskell",0,1,0,392
31,"Haskell",0,1,1,7
31,"Haskell",1,0,0,39
31,"Haskell",1,1,0,22
31,"Haskell",1,1,1,1
32,"Hughes",0,0,0,48
32,"Hughes",0,0,1,20
32,"Hughes",0,1,0,1086
32,"Hughes",0,1,1,19
32,"Hughes",1,0,0,77
32,"Hughes",1,0,1,2
32,"Hughes",1,1,0,87
32,"Hughes",1,1,1,3
33,"Jackson",0,0,0,21
33,"Jackson",0,0,1,47
33,"Jackson",0,1,0,1604
33,"Jackson",0,1,1,40
33,"Jackson",1,0,0,158
33,"Jackson",1,0,1,9
33,"Jackson",1,1,0,153
33,"Jackson",1,1,1,1
34,"Jefferson",0,0,0,1
34,"Jefferson",0,0,1,3
34,"Jefferson",0,1,0,120
34,"Jefferson",0,1,1,5
34,"Jefferson",1,0,0,12
34,"Jefferson",1,0,1,1
34,"Jefferson",1,1,0,9
35,"Johnston",0,0,0,5
35,"Johnston",0,0,1,4
35,"Johnston",0,1,0,403
35,"Johnston",0,1,1,8
35,"Johnston",1,0,0,14
35,"Johnston",1,1,0,18
35,"Johnston",1,1,1,3
36,"Kay",0,0,0,36
36,"Kay",0,0,1,109
36,"Kay",0,1,0,2924
36,"Kay",0,1,1,57
36,"Kay",1,0,0,286
36,"Kay",1,0,1,6
36,"Kay",1,1,0,314
36,"Kay",1,1,1,16
37,"Kingfisher",0,0,0,6
37,"Kingfisher",0,0,1,8
37,"Kingfisher",0,1,0,380
37,"Kingfisher",0,1,1,5
37,"Kingfisher",1,0,0,38
37,"Kingfisher",1,0,1,1
37,"Kingfisher",1,1,0,38
38,"Kiowa",0,0,1,17
38,"Kiowa",0,1,0,277
38,"Kiowa",0,1,1,7
38,"Kiowa",1,0,0,24
38,"Kiowa",1,1,0,15
39,"Latimer",0,0,0,20
39,"Latimer",0,0,1,3
39,"Latimer",0,1,0,292
39,"Latimer",0,1,1,2
39,"Latimer",1,0,0,34
39,"Latimer",1,1,0,6
40,"Le Flore",0,0,0,45
40,"Le Flore",0,0,1,93
40,"Le Flore",0,1,0,2029
40,"Le Flore",0,1,1,32
40,"Le Flore",1,0,0,272
40,"Le Flore",1,0,1,9
40,"Le Flore",1,1,0,166
40,"Le Flore",1,1,1,4
41,"Lincoln",0,0,0,34
41,"Lincoln",0,0,1,47
41,"Lincoln",0,1,0,1226
41,"Lincoln",0,1,1,31
41,"Lincoln",1,0,0,132
41,"Lincoln",1,0,1,3
41,"Lincoln",1,1,0,180
41,"Lincoln",1,1,1,6
42,"Logan",0,0,0,18
42,"Logan",0,0,1,47
42,"Logan",0,1,0,1125
42,"Logan",0,1,1,48
42,"Logan",1,0,0,113
42,"Logan",1,0,1,6
42,"Logan",1,1,0,97
42,"Logan",1,1,1,1
43,"Love",0,0,0,2
43,"Love",0,1,0,241
43,"Love",0,1,1,6
43,"Love",1,0,0,14
43,"Love",1,1,0,22
44,"McClain",0,0,0,3
44,"McClain",0,0,1,42
44,"McClain",0,1,0,699
44,"McClain",0,1,1,27
44,"McClain",1,0,0,102
44,"McClain",1,0,1,1
44,"McClain",1,1,0,84
44,"McClain",1,1,1,2
45,"McCurtain",0,0,0,24
45,"McCurtain",0,0,1,60
45,"McCurtain",0,1,0,1382
45,"McCurtain",0,1,1,31
45,"McCurtain",1,0,0,141
45,"McCurtain",1,0,1,1
45,"McCurtain",1,1,0,229
45,"McCurtain",1,1,1,8
46,"McIntosh",0,0,0,15
46,"McIntosh",0,0,1,37
46,"McIntosh",0,1,0,1619
46,"McIntosh",0,1,1,39
46,"McIntosh",1,0,0,122
46,"McIntosh",1,0,1,8
46,"McIntosh",1,1,0,133
46,"McIntosh",1,1,1,7
47,"Major",0,0,0,4
47,"Major",0,0,1,27
47,"Major",0,1,0,262
47,"Major",0,1,1,5
47,"Major",1,0,0,77
47,"Major",1,0,1,1
47,"Major",1,1,0,55
47,"Major",1,1,1,2
48,"Marshall",0,0,0,5
48,"Marshall",0,0,1,21
48,"Marshall",0,1,0,587
48,"Marshall",0,1,1,17
48,"Marshall",1,0,0,54
48,"Marshall",1,1,0,40
49,"Mayes",0,0,0,10
