StateName,Year,CountPerCapita,Proportion,ChildPopulation,ScreenInCount,ScreenInPercent,ScreenOutCount,ScreenOutPercent,TotalReferralCount,TotalReferralRate
maine,2007,NA,NA,279467,6710,40.2,9968,59.8,16678,59.7
maine,2008,NA,NA,274867,6216,38.4,9975,61.6,16191,58.9
maine,2009,NA,NA,271176,6288,39.6,9604,60.4,15892,58.6
maine,2010,NA,NA,271176,6077,39,9501,61,15578,57.4
maine,2011,NA,NA,269218,6513,42,9003,58,15516,57.6
maryland,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
maryland,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
maryland,2009,NA,NA,1351935,28929,53.9,24708,46.1,53637,39.7
maryland,2010,NA,NA,1351935,26294,58.3,18835,41.7,45129,33.4
maryland,2011,NA,NA,1346635,27315,51.1,26112,48.9,53427,39.7
massachusetts,2007,NA,NA,1432856,39801,58.7,27992,41.3,67793,47.3
massachusetts,2008,NA,NA,1427033,44307,62,27123,38,71430,50.1
massachusetts,2009,NA,NA,1433002,42447,60.3,27915,39.7,70362,49.1
massachusetts,2010,NA,NA,1433002,39825,55.3,32210,44.7,72035,50.3
massachusetts,2011,NA,NA,1405015,37799,51.6,35495,48.4,73294,52.2
michigan,2007,81,NA,NA,NA,NA,NA,NA,NA,NA
michigan,2008,81,NA,2390198,71820,61.5,44910,38.5,116730,48.8
michigan,2009,81,NA,2349892,75441,62.4,45536,37.6,120977,51.5
michigan,2010,81,NA,2349892,77286,66.5,38862,33.5,116148,49.4
michigan,2011,81,NA,2295812,83320,67.4,40246,32.6,123566,53.8
minnesota,2007,NA,NA,1260282,18993,33.6,37588,66.4,56581,44.9
minnesota,2008,NA,NA,1254644,18608,34.9,34731,65.1,53339,42.5
minnesota,2009,NA,NA,1260797,17678,32.8,36232,67.2,53910,42.8
minnesota,2010,NA,NA,1260797,17803,31.9,38085,68.1,55888,44.3
minnesota,2011,NA,NA,1277526,18186,31.3,39999,68.7,58185,45.5
mississippi,2007,90,NA,768704,17871,66.3,9093,33.7,26964,35.1
mississippi,2008,90,NA,766720,19063,63.8,10827,36.2,29890,39
mississippi,2009,90,NA,767742,19717,65,10595,35,30312,39.5
mississippi,2010,90,NA,767742,19976,69.7,8690,30.3,28666,37.3
mississippi,2011,90,NA,750239,19774,75.2,6536,24.8,26310,35.1
missouri,2007,NA,NA,1424830,54635,53.3,47944,46.7,102579,72
missouri,2008,NA,NA,1421469,49129,49.8,49557,50.2,98686,69.4
missouri,2009,NA,NA,1431338,49755,51,47746,49,97501,68.1
missouri,2010,NA,NA,1431338,50969,50.5,50045,49.5,101014,70.6
missouri,2011,NA,NA,1412121,58782,58.3,41979,41.7,100761,71.4
montana,2007,NA,0.770823122,219498,8699,67.7,4153,32.3,12852,58.6
montana,2008,NA,0.770823122,220358,7988,65.3,4253,34.7,12241,55.6
montana,2009,NA,0.770823122,219828,8148,58.1,5888,41.9,14036,63.8
montana,2010,NA,0.770823122,219828,7419,57.4,5500,42.6,12919,58.8
montana,2011,NA,0.770823122,222354,7536,62.6,4506,37.4,12042,54.2
nebraska,2007,NA,NA,446145,11290,49,11760,51,23050,51.7
nebraska,2008,NA,NA,446995,12472,53.8,10721,46.2,23193,51.9
nebraska,2009,NA,NA,451641,13532,54.6,11255,45.4,24787,54.9
nebraska,2010,NA,NA,451641,13138,48.8,13771,51.2,26909,59.6
nebraska,2011,NA,NA,460065,13489,46.3,15662,53.7,29151,63.4
nevada,2007,NA,NA,660002,16342,72.7,6150,27.3,22492,34.1
nevada,2008,NA,NA,667801,14332,70.5,5989,29.5,20321,30.4
nevada,2009,NA,NA,681033,12241,68,5759,32,18000,26.4
nevada,2010,NA,NA,681033,12108,64.9,6541,35.1,18649,27.4
nevada,2011,NA,NA,663775,13667,54.8,11274,45.2,24941,37.6
new hampshire,2007,91,NA,298186,6834,41.8,9516,58.2,16350,54.8
new hampshire,2008,91,NA,293358,8031,46.2,9336,53.8,17367,59.2
new hampshire,2009,91,NA,289071,7880,45.5,9442,54.5,17322,59.9
new hampshire,2010,91,NA,289071,7909,60.5,5161,39.5,13070,45.2
new hampshire,2011,91,NA,279984,8671,64.5,4773,35.5,13444,48
new jersey,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
new jersey,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
new jersey,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
new jersey,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
new jersey,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
new mexico,2007,97,NA,500276,14853,49.3,15277,50.7,30130,60.2
new mexico,2008,97,NA,502450,14469,45.8,17128,54.2,31597,62.9
new mexico,2009,97,NA,510238,14535,48.1,15700,51.9,30235,59.3
new mexico,2010,97,NA,510238,16622,54.8,13691,45.2,30313,59.4
new mexico,2011,97,NA,519419,16992,53.2,14940,46.8,31932,61.5
new york,2007,NA,0.39496714,NA,NA,NA,NA,NA,NA,NA
new york,2008,NA,0.39496714,NA,NA,NA,NA,NA,NA,NA
new york,2009,NA,0.39496714,NA,NA,NA,NA,NA,NA,NA
new york,2010,NA,0.39496714,NA,NA,NA,NA,NA,NA,NA
new york,2011,NA,0.39496714,NA,NA,NA,NA,NA,NA,NA
north carolina,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
north carolina,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
north carolina,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
north carolina,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
north carolina,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
north dakota,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
north dakota,2008,NA,NA,143048,4011,48.1,4324,51.9,8335,58.3
north dakota,2009,NA,NA,143971,3886,45.6,4633,54.4,8519,59.2
north dakota,2010,NA,NA,143971,3871,48.2,4153,51.8,8024,55.7
north dakota,2011,NA,NA,151156,3798,44.5,4734,55.5,8532,56.4
ohio,2007,NA,0.651701271,NA,NA,NA,NA,NA,NA,NA
ohio,2008,NA,0.651701271,NA,NA,NA,NA,NA,NA,NA
ohio,2009,NA,0.651701271,2714341,78098,58.5,55456,41.5,133554,49.2
ohio,2010,NA,0.651701271,2714341,71811,51.6,67268,48.4,139079,51.2
ohio,2011,NA,0.651701271,2693092,80875,53.3,70857,46.7,151732,56.3
oklahoma,2007,90,NA,899507,35873,57,27092,43,62965,70
oklahoma,2008,90,NA,906035,34940,53.2,30717,46.8,65657,72.5
oklahoma,2009,90,NA,918849,29408,45.8,34816,54.2,64224,69.9
oklahoma,2010,90,NA,918849,28583,44.1,36210,55.9,64793,70.5
oklahoma,2011,90,NA,936159,29736,44.2,37530,55.8,67266,71.9
oregon,2007,92,0.171212769,862908,26381,41.5,37123,58.5,63504,73.6
oregon,2008,92,0.171212769,867575,27485,42,37975,58,65460,75.5
oregon,2009,92,0.171212769,872811,28584,42.1,39301,57.9,67885,77.8
oregon,2010,92,0.171212769,872811,29021,40.4,42865,59.6,71886,82.4
oregon,2011,92,0.171212769,863767,32169,43.4,42010,56.6,74179,85.9
pennsylvania,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
pennsylvania,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA
pennsylvania,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA
pennsylvania,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA
pennsylvania,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA
rhode island,2007,NA,NA,233115,7710,62,4733,38,12443,53.4
rhode island,2008,NA,NA,228540,6356,55.2,5168,44.8,11524,50.4
rhode island,2009,NA,NA,226825,6110,56.5,4695,43.5,10805,47.6
rhode island,2010,NA,NA,226825,6825,57.9,4965,42.1,11790,52
rhode island,2011,NA,NA,219536,6477,54.7,5359,45.3,11836,53.9
south carolina,2007,NA,NA,1059917,18337,67.2,8956,32.8,27293,25.8
south carolina,2008,NA,NA,1066227,18206,66.9,9026,33.1,27232,25.5
south carolina,2009,NA,NA,1080732,17721,64.5,9752,35.5,27473,25.4
south carolina,2010,NA,NA,1080732,18803,65.1,10084,34.9,28887,26.7
south carolina,2011,NA,NA,1080555,17444,62.7,10393,37.3,27837,25.8
south dakota,2007,105,0.178758057,196890,3627,25,10854,75,14481,73.5
south dakota,2008,105,0.178758057,198309,3589,24.9,10816,75.1,14405,72.6
south dakota,2009,105,0.178758057,199616,3920,25.5,11454,74.5,15374,77
south dakota,2010,105,0.178758057,199616,3838,25.2,11390,74.8,15228,76.3
south dakota,2011,105,0.178758057,203156,3907,25,11716,75,15623,76.9
tennessee,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA
tennessee,2008,NA,NA,1478594,61346,63.1,35878,36.9,97224,65.8
tennessee,2009,NA,NA,1493252,57143,63.2,33204,36.8,90347,60.5
tennessee,2010,NA,NA,1493252,59487,66.8,29538,33.2,89025,59.6
tennessee,2011,NA,NA,1492136,59288,63.2,34511,36.8,93799,62.9
texas,2007,NA,0.244472611,6623366,166584,82.5,35431,17.5,202015,30.5
texas,2008,NA,0.244472611,6725771,169628,82.8,35288,17.2,204916,30.5
texas,2009,NA,0.244472611,6895969,170576,83.6,33527,16.4,204103,29.6
texas,2010,NA,0.244472611,6895969,175168,84.2,32797,15.8,207965,30.2
texas,2011,NA,0.244472611,6960738,178605,84.3,33344,15.7,211949,30.4
utah,2007,NA,0.59128776,816822,20386,62.9,12038,37.1,32424,39.7
utah,2008,NA,0.59128776,849635,19922,63,11684,37,31606,37.2
utah,2009,NA,0.59128776,868824,20534,64.2,11439,35.8,31973,36.8
utah,2010,NA,0.59128776,868824,20043,63.2,11650,36.8,31693,36.5
utah,2011,NA,0.59128776,880309,18821,56.4,14566,43.6,33387,37.9
vermont,2007,NA,0.932553769,131353,2564,20.8,9763,79.2,12327,93.8
vermont,2008,NA,0.932553769,128930,2359,19,10064,81,12423,96.4
vermont,2009,NA,0.932553769,126275,3215,24.4,9950,75.6,13165,104.3
vermont,2010,NA,0.932553769,126275,3795,26.6,10483,73.4,14278,113.1
vermont,2011,NA,0.932553769,126018,3385,24.4,10499,75.6,13884,110.2
virginia,2007,NA,NA,1826179,30196,52,27864,48,58060,31.8
virginia,2008,NA,NA,1823201,28969,50.2,28715,49.8,57684,31.6
virginia,2009,NA,NA,1847182,30364,50.6,29631,49.4,59995,32.5
virginia,2010,NA,NA,1847182,33996,52.5,30743,47.5,64739,35
virginia,2011,NA,NA,1853546,32566,50.4,32030,49.6,64596,34.8
washington,2007,NA,NA,1536368,35262,47.4,39119,52.6,74381,48.4
washington,2008,NA,NA,1541175,35693,48,38734,52,74427,48.3
washington,2009,NA,NA,1569592,30405,43.3,39788,56.7,70193,44.7
washington,2010,NA,NA,1569592,34621,45.8,41039,54.2,75660,48.2
washington,2011,NA,NA,1581757,35798,47.1,40194,52.9,75992,48
west virginia,2007,NA,NA,387381,21962,69,9851,31,31813,82.1
west virginia,2008,NA,NA,386158,23103,69.3,10224,30.7,33327,86.3
west virginia,2009,NA,NA,386449,22249,65.3,11802,34.7,34051,88.1
west virginia,2010,NA,NA,386449,17686,54.9,14558,45.1,32244,83.4
west virginia,2011,NA,NA,384794,17225,51.5,16220,48.5,33445,86.9
wisconsin,2007,NA,NA,1321279,26978,49.3,27726,50.7,54704,41.4
wisconsin,2008,NA,NA,1314412,26382,46.7,30053,53.3,56435,42.9
wisconsin,2009,NA,NA,1310250,25543,45.3,30840,54.7,56383,43
wisconsin,2010,NA,NA,1310250,26521,43.7,34205,56.3,60726,46.3
wisconsin,2011,NA,NA,1326208,27060,42.2,37115,57.8,64175,48.4
wyoming,2007,NA,0.362366686,125365,2442,48.2,2628,51.8,5070,40.4
wyoming,2008,NA,0.362366686,128457,2398,46.4,2775,53.6,5173,40.3
wyoming,2009,NA,0.362366686,132025,2669,49,2780,51,5449,41.3
wyoming,2010,NA,0.362366686,132025,3213,51.5,3023,48.5,6236,47.2
wyoming,2011,NA,0.362366686,134937,3040,49.6,3090,50.4,6130,45.4
