State,Substantiated,Indicated,altrespvict,Total Report Dispositions
Alabama,"5,804",,,"18,651"
Alaska,"2,105",,110,"6,100"
Arizona,"2,687",159,,"32,136"
Arkansas,"7,428",,,"30,381"
California,"49,823",,,"235,812"
Colorado,"7,697",,,"33,978"
Connecticut,"6,603",,,"24,937"
Delaware,"1,372",,,"5,862"
District of Columbia,"1,990",,,"6,593"
Florida,"30,134",,,"153,733"
Georgia,"15,341",,,"28,095"
Hawaii,"1,139",,,"2,871"
Idaho,"1,095",,,"6,966"
Illinois,"17,546",,,"68,591"
Indiana,"16,198",,,"67,505"
Iowa,"8,378",,,"24,940"
Kansas,"1,016",,,"17,942"
Kentucky,"9,137",,"1,564","47,633"
Louisiana,"5,909",,,"22,804"
Maine,"2,484",,,"6,288"
Maryland,"5,687","5,741",,"28,929"
Massachusetts,"23,935",,,"42,447"
Michigan,"10,601","9,153",,"75,441"
Minnesota,"3,276",,,"17,678"
Mississippi,"5,302",,,"19,717"
Missouri,"4,085",,,"49,755"
Montana,950,60,,"8,148"
Nebraska,"3,198",,,"13,532"
Nevada,"2,887",,,"12,241"
New Hampshire,676,,,"7,880"
New Jersey,"6,301",,,"55,909"
New Mexico,"3,328",,,"14,535"
New York,"54,156",,,"168,658"
North Carolina,"4,937",,,"67,652"
North Dakota,661,,,"3,886"
Ohio,"14,595",,,"78,098"
Oklahoma,"4,303",,,"29,408"
Oregon,"7,240",,,"28,584"
Pennsylvania,"4,084",,,"25,839"
Puerto Rico,"5,765",,,"19,884"
Rhode Island,"1,977",,,"6,110"
South Carolina,"7,062",,,"17,721"
South Dakota,851,,,"3,920"
Tennessee,"6,391",,,"57,143"
Texas,"40,741",,,"170,576"
Utah,"8,473",,,"20,534"
Vermont,606,,,"3,215"
Virginia,"4,138",,,"30,364"
Washington,"4,521",,,"30,405"
West Virginia,"3,283",,,"22,249"
Wisconsin,"3,654",,,"25,543"
Wyoming,455,,,"2,669"
