State,Substantiated,Indicated,altrespvict,Total Report Dispositions
Alabama,"6,518",,,"19,605"
Alaska,"2,332",,316,"7,846"
Arizona,"2,462",150,,"29,572"
Arkansas,"6,748",,,"27,824"
California,"52,546",,,"244,194"
Colorado,"7,528",,,"34,164"
Connecticut,"6,505",,,"24,409"
Delaware,"1,498",,,"6,274"
District of Columbia,"1,588",,,"4,694"
Florida,"31,310",,,"173,218"
Georgia,"16,298",,,"32,430"
Hawaii,"1,091",,,"2,508"
Idaho,"1,180",,,"6,783"
Illinois,"17,511",,,"67,021"
Indiana,"14,929",2,,"66,690"
Iowa,"7,292",,,"21,661"
Kansas,"1,214",,,"16,823"
Kentucky,"9,771",,"1,617","49,976"
Louisiana,"6,198",,,"21,405"
Maine,"2,447",,,"6,216"
Maryland,,,,
Massachusetts,"25,590",,,"44,307"
Michigan,"10,656","7,297",,"71,820"
Minnesota,"3,855",,,"18,608"
Mississippi,"5,480",,,"19,063"
Missouri,"4,133",,,"49,129"
Montana,952,68,,"7,988"
Nebraska,"2,806",,,"12,472"
Nevada,"2,849",,,"14,332"
New Hampshire,831,,,"8,031"
New Jersey,"6,299",,,"53,895"
New Mexico,"3,593",,,"14,469"
New York,"50,989",,,"159,556"
North Carolina,"5,248",,"7,413","69,428"
North Dakota,680,,,"4,011"
Ohio,"15,734","9,732",,"83,827"
Oklahoma,"6,207",,,"34,940"
Oregon,"6,943",,,"27,485"
Pennsylvania,"4,055",,,"25,051"
Puerto Rico,"6,825",,,"17,098"
Rhode Island,"1,957",,,"6,356"
South Carolina,"7,025",,,"18,206"
South Dakota,835,,,"3,589"
Tennessee,"7,644",499,,"61,346"
Texas,"41,931",,,"169,628"
Utah,"8,215",,,"19,922"
Vermont,572,,,"2,359"
Virginia,"4,150",,,"28,969"
Washington,"4,613",,,"35,693"
West Virginia,"3,705",,,"23,103"
Wisconsin,"4,250",,,"26,382"
Wyoming,449,,,"2,398"
