,<1,,,1,,,2,,,3,,,4–7,,,8–11,,,12–15,,,16–17,,,Unknown and 18–21,, Total Unique Victims 
State, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Child Population  , Number ,Percent, Number ,Percent,
Maine," 13,739 ", 461 ,14.1," 13,931 ", 268 ,8.2," 14,531 ", 236 ,7.2," 14,287 ", 219 ,6.7," 57,319 ", 822 ,25.1," 58,836 ", 603 ,18.4," 63,167 ", 528 ,16.2," 35,366 ", 123 ,3.8, 9 ,0.3," 3,269 "
Maryland," 76,511 "," 1,537 ",11.8," 77,124 ", 858 ,6.6," 77,365 ", 844 ,6.5," 75,227 ", 823 ,6.3," 297,599 "," 3,061 ",23.4," 289,553 "," 2,427 ",18.6," 298,817 "," 2,440 ",18.7," 159,739 "," 1,025 ",7.8, 44 ,0.3," 13,059 "
Massachusetts," 77,177 "," 2,895 ",11.9," 77,519 "," 1,898 ",7.8," 77,668 "," 1,711 ",7.0," 77,155 "," 1,584 ",6.5," 309,927 "," 5,651 ",23.1," 314,469 "," 4,734 ",19.4," 325,790 "," 4,366 ",17.9," 173,297 "," 1,533 ",6.3, 56 ,0.2," 24,428 "
Michigan," 123,960 "," 5,148 ",15.9," 123,258 "," 2,276 ",7.0," 122,807 "," 2,156 ",6.7," 122,941 "," 2,086 ",6.4," 501,272 "," 7,122 ",22.0," 520,170 "," 5,959 ",18.4," 544,503 "," 5,691 ",17.6," 290,981 "," 1,899 ",5.9, 75 ,0.2," 32,412 "
Minnesota," 73,019 ", 548 ,12.3," 73,418 ", 300 ,6.7," 74,281 ", 283 ,6.3," 72,336 ", 291 ,6.5," 279,120 "," 1,143 ",25.6," 268,974 ", 966 ,21.6," 274,816 ", 680 ,15.2," 144,833 ", 231 ,5.2, 20 ,0.4," 4,462 "
Mississippi," 43,850 ", 766 ,10.3," 45,316 ", 472 ,6.4," 47,311 ", 436 ,5.9," 43,215 ", 461 ,6.2," 169,395 "," 1,779 ",24.0," 165,629 "," 1,497 ",20.2," 164,979 "," 1,453 ",19.6," 88,047 ", 526 ,7.1, 13 ,0.2," 7,403 "
Missouri," 80,605 ", 400 ,7.5," 81,913 ", 366 ,6.9," 82,251 ", 360 ,6.8," 80,137 ", 373 ,7.0," 312,590 "," 1,318 ",24.8," 310,486 ", 979 ,18.4," 315,450 "," 1,110 ",20.9," 167,906 ", 407 ,7.7,,0.0," 5,313 "
Montana," 12,838 ", 166 ,12.0," 12,793 ", 105 ,7.6," 12,693 ", 109 ,7.9," 12,236 ", 110 ,8.0," 47,110 ", 340 ,24.6," 46,638 ", 271 ,19.6," 48,766 ", 197 ,14.2," 26,754 ", 44 ,3.2, 41 ,3.0," 1,383 "
Nebraska," 27,813 ", 549 ,12.0," 27,272 ", 384 ,8.4," 27,216 ", 379 ,8.3," 26,348 ", 341 ,7.5," 102,496 "," 1,127 ",24.7," 94,950 ", 880 ,19.2," 95,365 ", 667 ,14.6," 50,181 ", 233 ,5.1, 12 ,0.3," 4,572 "
Nevada," 40,286 ", 787 ,16.9," 40,698 ", 367 ,7.9," 41,945 ", 379 ,8.1," 41,015 ", 354 ,7.6," 156,371 "," 1,112 ",23.9," 145,272 ", 806 ,17.3," 143,255 ", 643 ,13.8," 72,191 ", 201 ,4.3, 5 ,0.1," 4,654 "
New Hampshire," 14,214 ", 101 ,11.9," 14,391 ", 55 ,6.5," 14,596 ", 60 ,7.1," 15,635 ", 47 ,5.5," 61,742 ", 187 ,22.0," 63,101 ", 158 ,18.6," 68,759 ", 178 ,20.9," 36,633 ", 61 ,7.2, 4 ,0.5, 851 
New Jersey," 110,569 "," 1,269 ",14.1," 111,978 ", 626 ,7.0," 112,162 ", 593 ,6.6," 109,511 ", 564 ,6.3," 455,053 "," 2,019 ",22.5," 446,287 "," 1,706 ",19.0," 461,083 "," 1,553 ",17.3," 239,205 ", 605 ,6.7, 46 ,0.5," 8,981 "
New Mexico," 30,381 ", 612 ,11.3," 30,469 ", 403 ,7.4," 31,067 ", 387 ,7.1," 29,877 ", 347 ,6.4," 117,298 "," 1,426 ",26.2," 108,000 "," 1,116 ",20.5," 106,355 ", 865 ,15.9," 56,791 ", 254 ,4.7, 30 ,0.6," 5,440 "
New York," 247,880 "," 7,424 ",9.6," 248,655 "," 5,038 ",6.5," 248,608 "," 4,632 ",6.0," 239,951 "," 4,371 ",5.7," 959,881 "," 16,950 ",22.0," 948,263 "," 15,125 ",19.6," 996,296 "," 16,364 ",21.2," 534,549 "," 6,931 ",9.0, 176 ,0.2," 77,011 "
North Carolina," 132,275 "," 2,884 ",13.2," 134,291 "," 1,778 ",8.1," 135,936 "," 1,698 ",7.8," 131,882 "," 1,547 ",7.1," 514,691 "," 5,209 ",23.8," 499,154 "," 4,171 ",19.1," 480,047 "," 3,638 ",16.6," 249,691 ", 963 ,4.4, 7 ,0.0," 21,895 "
North Dakota," 9,132 ", 85 ,7.5," 8,952 ", 82 ,7.3," 8,746 ", 75 ,6.6," 8,543 ", 88 ,7.8," 30,944 ", 261 ,23.1," 29,285 ", 194 ,17.2," 31,347 ", 179 ,15.9," 17,022 ", 70 ,6.2, 94 ,8.3," 1,128 "
Ohio," 147,725 "," 3,854 ",12.3," 148,496 "," 2,157 ",6.9," 150,153 "," 2,142 ",6.8," 147,683 "," 2,078 ",6.6," 586,028 "," 7,358 ",23.5," 597,727 "," 5,765 ",18.4," 612,556 "," 5,666 ",18.1," 323,973 "," 2,042 ",6.5, 233 ,0.7," 31,295 "
Oklahoma," 54,677 "," 1,410 ",19.6," 55,064 ", 663 ,9.2," 55,755 ", 602 ,8.4," 53,528 ", 536 ,7.4," 207,188 "," 1,637 ",22.7," 197,970 "," 1,237 ",17.2," 192,438 ", 854 ,11.8," 102,229 ", 238 ,3.3, 30 ,0.4," 7,207 "
Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 147,416 ", 239 ,6.7," 149,910 ", 106 ,3.0," 152,173 ", 124 ,3.5," 149,714 ", 153 ,4.3," 594,572 ", 686 ,19.3," 600,002 ", 721 ,20.3," 636,764 "," 1,020 ",28.7," 344,581 ", 427 ,12.0, 79 ,2.2," 3,555 "
